VariableNames=Color,Bitterness,Strength,Class
2,18,0.049,1
3,13,0.045,1
4,17,0.052,1
3,19,0.051,1
3,14,0.047,1
3,14,0.05,1
3,11,0.046,1
4,14,0.051,1
4,15,0.051,1
3,19,0.053,1
3,10,0.048,1
3,8,0.052,1
2,17,0.05,1
3,14,0.048,1
3,14,0.044,1
3,18,0.052,1
3,10,0.046,1
2,16,0.051,1
4,12,0.048,1
3,15,0.047,1
2,11,0.049,1
4,11,0.053,1
2,17,0.046,1
2,16,0.047,1
3,15,0.048,1
4,14,0.046,1
2,17,0.049,1
3,15,0.051,1
4,11,0.045,1
3,12,0.054,1
3,23,0.052,1
2,19,0.053,1
0,16,0.043,1
3,17,0.06,1
0,16,0.046,1
3,16,0.054,1
3,22,0.05,1
3,15,0.047,1
4,21,0.052,1
3,10,0.054,1
3,12,0.048,1
3,14,0.052,1
0,16,0.056,1
2,19,0.053,1
4,20,0.052,1
2,15,0.048,1
2,13,0.048,1
2,16,0.045,1
3,10,0.052,1
3,14,0.05,1
9,27,0.05,2
11,20,0.055,2
20,23,0.053,2
10,22,0.054,2
8,25,0.052,2
11,21,0.055,2
7,29,0.055,2
11,20,0.054,2
11,22,0.049,2
12,22,0.051,2
12,26,0.052,2
11,26,0.052,2
12,24,0.051,2
10,24,0.055,2
7,23,0.051,2
7,24,0.055,2
8,23,0.052,2
10,24,0.052,2
8,39,0.053,2
9,26,0.049,2
12,26,0.051,2
9,21,0.049,2
10,24,0.055,2
9,24,0.056,2
9,22,0.052,2
11,26,0.048,2
10,26,0.049,2
7,24,0.056,2
9,27,0.052,2
9,24,0.054,2
10,22,0.055,2
10,23,0.054,2
11,21,0.051,2
13,25,0.055,2
10,26,0.052,2
7,27,0.053,2
13,26,0.054,2
9,25,0.055,2
14,25,0.053,2
9,22,0.056,2
11,24,0.053,2
13,24,0.054,2
11,24,0.053,2
11,25,0.052,2
7,27,0.05,2
8,26,0.052,2
7,21,0.052,2
12,27,0.052,2
10,24,0.052,2
12,23,0.052,2
2,48,0.05,3
4,38,0.047,3
5,35,0.052,3
2,31,0.05,3
3,38,0.05,3
2,39,0.049,3
2,50,0.046,3
2,52,0.046,3
2,44,0.055,3
3,35,0.051,3
2,41,0.047,3
5,42,0.053,3
5,34,0.068,3
3,41,0.052,3
3,36,0.05,3
7,27,0.05,3
2,30,0.042,3
5,45,0.052,3
5,37,0.05,3
4,38,0.054,3
4,37,0.055,3
6,44,0.05,3
4,38,0.052,3
4,35,0.047,3
4,44,0.05,3
4,43,0.048,3
4,36,0.045,3
4,44,0.048,3
3,34,0.055,3
4,42,0.053,3
5,40,0.051,3
4,36,0.047,3
4,40,0.053,3
5,41,0.051,3
4,38,0.048,3
4,40,0.053,3
4,36,0.039,3
4,38,0.052,3
4,35,0.054,3
5,40,0.047,3
6,36,0.048,3
4,36,0.051,3
4,43,0.048,3
5,42,0.048,3
4,36,0.052,3
4,39,0.048,3
5,41,0.051,3
5,42,0.053,3
3,37,0.05,3
2,44,0.048,3
15,131,0.087,4
14,59,0.081,4
11,108,0.072,4
9,64,0.08,4
9,61,0.091,4
10,115,0.084,4
9,93,0.078,4
9,82,0.088,4
8,91,0.09,4
11,93,0.095,4
8,72,0.084,4
11,100,0.079,4
13,79,0.081,4
7,95,0.078,4
16,50,0.085,4
8,86,0.074,4
7,100,0.077,4
12,66,0.083,4
9,63,0.078,4
9,68,0.082,4
9,100,0.071,4
8,53,0.07,4
9,87,0.083,4
12,81,0.085,4
8,91,0.084,4
9,65,0.078,4
11,115,0.077,4
8,113,0.084,4
10,71,0.075,4
9,118,0.085,4
8,102,0.089,4
10,97,0.088,4
8,57,0.059,4
10,86,0.088,4
17,150,0.08,4
12,75,0.077,4
8,69,0.083,4
11,250,0.075,4
7,82,0.092,4
10,81,0.086,4
14,98,0.085,4
8,156,0.08,4
6,63,0.094,4
8,84,0.075,4
11,104,0.074,4
12,115,0.073,4
9,90,0.081,4
8,65,0.082,4
12,72,0.083,4
13,60,0.077,4
32,28,0.055,5
37,32,0.06,5
31,33,0.053,5
35,26,0.051,5
37,38,0.051,5
37,32,0.052,5
34,32,0.055,5
30,29,0.055,5
45,27,0.063,5
34,29,0.058,5
38,22,0.054,5
39,28,0.055,5
33,32,0.061,5
38,26,0.05,5
33,23,0.054,5
34,32,0.054,5
30,32,0.059,5
30,29,0.053,5
34,26,0.055,5
36,28,0.065,5
34,26,0.055,5
38,25,0.066,5
43,34,0.066,5
39,17,0.066,5
40,27,0.062,5
38,27,0.054,5
40,33,0.068,5
35,27,0.061,5
38,28,0.064,5
34,31,0.058,5
35,31,0.057,5
43,62,0.06,5
41,27,0.065,5
39,24,0.07,5
39,24,0.054,5
31,22,0.058,5
37,21,0.047,5
34,24,0.055,5
37,30,0.057,5
39,27,0.055,5
35,20,0.054,5
34,28,0.059,5
33,30,0.059,5
34,28,0.056,5
36,27,0.056,5
34,32,0.052,5
38,33,0.061,5
36,24,0.054,5
35,25,0.052,5
36,28,0.052,5
18,89,0.113,6
23,59,0.124,6
16,66,0.103,6
17,104,0.097,6
16,78,0.093,6
18,90,0.099,6
13,56,0.131,6
19,107,0.094,6
16,52,0.097,6
11,92,0.111,6
9,107,0.093,6
14,86,0.105,6
15,105,0.119,6
17,64,0.109,6
12,104,0.099,6
13,74,0.109,6
17,61,0.093,6
19,90,0.12,6
11,90,0.097,6
17,87,0.096,6
15,92,0.101,6
14,118,0.083,6
17,96,0.127,6
15,98,0.095,6
12,65,0.1,6
18,71,0.101,6
16,113,0.103,6
15,85,0.082,6
16,79,0.107,6
16,92,0.115,6
19,73,0.11,6
14,76,0.109,6
16,66,0.106,6
16,50,0.099,6
13,65,0.097,6
14,95,0.094,6
13,75,0.103,6
16,86,0.116,6
12,82,0.1,6
14,79,0.088,6
17,110,0.092,6
13,52,0.107,6
16,95,0.092,6
15,79,0.106,6
12,77,0.096,6
14,90,0.096,6
15,100,0.106,6
19,93,0.099,6
10,77,0.131,6
12,75,0.105,6
23,29,0.053,7
24,27,0.042,7
26,29,0.044,7
28,22,0.051,7
29,25,0.051,7
28,23,0.049,7
27,16,0.049,7
24,21,0.051,7
20,20,0.044,7
29,26,0.048,7
22,22,0.049,7
27,31,0.049,7
24,30,0.048,7
23,21,0.047,7
26,30,0.04,7
20,31,0.054,7
25,28,0.052,7
21,20,0.044,7
25,21,0.047,7
22,22,0.049,7
22,25,0.045,7
20,33,0.051,7
20,33,0.051,7
29,23,0.046,7
28,29,0.053,7
24,25,0.055,7
27,33,0.054,7
29,30,0.052,7
28,20,0.042,7
30,29,0.046,7
28,33,0.046,7
20,31,0.047,7
28,29,0.04,7
27,28,0.05,7
29,27,0.046,7
26,28,0.047,7
22,27,0.051,7
23,28,0.042,7
22,32,0.048,7
27,31,0.048,7
29,26,0.05,7
21,25,0.048,7
29,26,0.048,7
25,27,0.048,7
25,24,0.05,7
22,21,0.047,7
25,30,0.049,7
29,29,0.048,7
24,25,0.044,7
23,32,0.048,7
30,39,0.089,8
30,39,0.089,8
29,33,0.107,8
29,32,0.1,8
29,32,0.107,8
29,47,0.092,8
29,34,0.12,8
29,31,0.12,8
29,33,0.098,8
29,33,0.102,8
29,35,0.104,8
29,38,0.091,8
29,33,0.092,8
29,35,0.105,8
29,37,0.101,8
29,33,0.094,8
29,31,0.091,8
29,40,0.092,8
29,37,0.103,8
29,31,0.102,8
29,32,0.097,8
29,35,0.091,8
29,33,0.136,8
28,32,0.099,8
28,39,0.106,8
28,31,0.089,8
28,33,0.119,8
28,34,0.088,8
28,36,0.102,8
28,32,0.093,8
28,33,0.089,8
28,39,0.089,8
28,35,0.089,8
28,38,0.091,8
28,33,0.12,8
27,33,0.113,8
28,37,0.094,8
28,41,0.103,8
27,38,0.087,8
27,40,0.092,8
27,32,0.105,8
27,34,0.106,8
27,32,0.13,8
27,31,0.092,8
27,38,0.114,8
27,31,0.107,8
27,44,0.096,8
27,32,0.092,8
27,30,0.082,8
20,25,0.107,8
